Cluster,Score,Type,Gene,Symbol,Network
1,1.2857142857142858,Clustered,20971,Sdc4,MyList_SUB1
1,1.2857142857142858,Clustered,14134,Fcnb,MyList_SUB1
1,1.2857142857142858,Clustered,21825,Thbs1,MyList_SUB1
1,1.2857142857142858,Clustered,20202,S100a9,MyList_SUB1
1,1.2857142857142858,Clustered,17395,Mmp9,MyList_SUB1
1,1.2857142857142858,Seed,13058,Cybb,MyList_SUB1
1,1.2857142857142858,Clustered,20201,S100a8,MyList_SUB1
2,1.0,Seed,13821,Epb41l1,MyList_SUB3
2,1.0,Clustered,13823,Epb41l3,MyList_SUB3
2,1.0,Clustered,17910,Myo15a,MyList_SUB3
3,1.0,Seed,14871,Gstt1,MyList_SUB4
3,1.0,Clustered,225884,Gstp3,MyList_SUB4
3,1.0,Clustered,67689,Aldh3b1,MyList_SUB4
